category,company_name,website,founded_year,raised_amount,description
Storage,Backblaze,https://www.backblaze.com/b2/docs/s3_compatible_api.html,2007.0,$8.5M,Backblaze (NASDAQ: BLZE) is a data storage provider. It offers two products: B2 Cloud Storage - An object storage service similar to Amazon's S3. Computer Backup - An online backup tool that allows Windows and macOS users to back up their data to offsite data centers.
Storage,Alluxio,https://www.alluxio.io/,2015.0,$73.68M,"Alluxio is a memory-centric distributed storage system enabling reliable data sharing at memory-speed across cluster frameworks. Alluxio leverages lineage information and using memory aggressively. Tachyon caches working set files in memory, thereby avoiding disk to load datasets that are frequently read. This enables different jobs/queries and frameworks to access cached files at memory speed."
Storage,Cloudflare,https://www.cloudflare.com/products/r2/,2009.0,$332.07M,"Cloudflare offers services to help companies reduce latencies, including distributed denial of service (DDoS) attack mitigation and a content delivery network (CDN). The company uses technology to solve problems over the internet. Cloudflare was founded in 2009 and is based in San Franciso, California."
Storage,Weka,https://www.weka.io/ ,2013.0,$273.2M,"Weka offers a shared parallel file system, WekaFS, which leapfrogs legacy storage infrastructure. It helps tackle demanding storage performance challenges in data-intensive technical computing environments, so customers can solve problems. Its WekaFS accelerates time-to-insight from data and helps customers get high-powered IT investments. It was formerly known as WekaIO. The company was founded in 2013 and is based in Campbell, California."
Storage,Vast Data,https://vastdata.com/,2016.0,$263M,VAST Data is an IT infrastructure company. Its exabyte-scale Universal Storage system is built entirely from high-performance flash media and has several features that result in a total cost of acquisition that is equivalent to hard drive-based archive systems.
Storage,Digital Ocean Spaces,https://www.digitalocean.com/products/spaces,2012.0,$463.42M,"DigitalOcean (NYSE: DOCN) offers a software-as-a-service (SaaS) based platform. It offers a range of services such as website hosting, cloud virtual private network (VPN), big data computing, gaming development, and blockchain development. It provides solutions for digital marketing agencies, e-commerce businesses, and more. The company was founded in 2012 and is based in New York, New York."
Storage,Pure Storage,https://www.purestorage.com/,2009.0,$470M,"Pure Storage, the all-flash enterprise storage company, enables the broad deployment of flash in the data center. When compared to traditional disk-centric arrays, Pure Storage all-flash enterprise arrays are 10x faster and 10x more space and power efficient at a price point that is less than performance disk per gigabyte stored. The Pure Storage FlashArray is ideal for high performance workloads, including server virtualization, desktop virtualization (VDI), database (OLTP, real-time analytics) and cloud computing. The company was founded in 2009 and is based in Mountain View, California."
Storage,Amazon S3,https://aws.amazon.com/s3/,2006.0,,Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
Storage,Panasas,https://www.panasas.com/,1999.0,$133.13M,"Panasas, a provider in high performance parallel storage for technical computing applications and big data workloads, enables customers to rapidly solve complex computing problems, speed innovation and accelerate new product introduction. All Panasas storage products leverage the PanFS storage operating system to deliver superior performance, data protection, scalability and manageability. Panasas systems are optimized for demanding storage environments in the bioscience, energy, finance, government, manufacturing, and university markets."
MPP DBs,Actian,https://www.actian.com/,,,"Actian is a computer software company that enables organizations to transform big data into business value with data management solutions to transact, connect, analyze and act on data. Actian helps customers worldwide take action on their big data with Vectorwise analytics database, RushAnalytics Hadoop accelerator, DataCloud for cloud and on-premises data integration, Action Apps, as well as Ingres, Versant and PSQL transactional mission-critical databases."
MPP DBs,Exasol,https://www.exasol.com/,2000.0,,"Exasol develops an in-memory database for analytics and data warehousing, and offers expertise in data insight and analytics. The in-memory analytic database combines in-memory, columnar compression and massively parallel processing. The company was founded in 2000 and is based in Nuremberg, Germany."
MPP DBs,Teradata,https://www.teradata.com/,1979.0,,"Teradata provides analytic data platforms, marketing and analytic applications, and consulting services. Teradata helps organizations collect, integrate, and analyze all of their data so they can know more about their customers and business."
MPP DBs,Greenplum Database,https://greenplum.org/,2003.0,$49.7M,"Greenplum Database is a company focused on providing a massively parallel data platform (MPP) for analytics, machine learning, and artificial intelligence (AI) within the database software industry. The company offers an open-source database that scales analytics to large datasets in the petabytes, supports complex applications, and integrates with various data sources and storage options. Greenplum's platform is designed to serve sectors that require large-scale data workloads and advanced analytical capabilities. It was founded in 2003 and is based in San Mateo, California."
MPP DBs,"Vertica, An OpenText Company",https://www.vertica.com/overview/,2005.0,$23.5M,"Vertica Systems is developing an analytics database management software company. Vertica makes SQL database management software designed to derive business intelligence from complex and large sets of data, in real-time."
Data Lakes/Lakehouses,ChaosSearch,https://www.chaossearch.io/,2017.0,$50.68M,"ChaosSearch is a cloud-based log management and analytics service that extends the power of ELK directly onto AWS S3, providing access to long term data."
Data Lakes/Lakehouses,OneHouse,https://www.onehouse.ai/,2021.0,$33M,"Onehouse provides a cloud-native managed lakehouse service that helps to build data lakes, process data, and own data in open-source formats. The company provides data, through a cloud-managed lakehouse service built. Onehouse was founded in 2021 and is based in Menlo Park, California."
Data Lakes/Lakehouses,Cloudera,https://www.cloudera.com/,2008.0,$1041M,"Cloudera provides enterprise data management solutions that offer a unified platform for data, an enterprise data hub built on Apache Hadoop. It provides enterprises one place to store, process, and analyze all their data, empowering them to extend the value of existing investments while enabling fundamental new ways to derive value from their data."
Data Lakes/Lakehouses,Qubole,https://www.qubole.com/,2011.0,$75M,"Qubole operates a cloud-native data platform for analytics and machine learning. Qubole's intelligent automation and self-service improve productivity, while workload-aware auto-scaling and real-time spot buying drive down compute costs. On October 14, 2020 Qubole was acquired by Idera. The terms of the transaction were not disclosed."
Data Lakes/Lakehouses,Starburst,https://www.starburst.io/,2017.0,$414M,"Starburst is an analytics anywhere company. It provides a distributed SQL query engine. With the ability to connect to a wide variety of data sources, companies use Presto to power large-scale, interactive analytics without the need to move their data. Starburst was previously known as Project Flex. The company was founded in 2017 and is based in Boston, Massachusetts."
Data Lakes/Lakehouses,Dremio,https://www.dremio.com/,2015.0,$405M,"Dremio provides a data analytics platform that allows business users to curate precisely the data they need, from any data source, then accelerate analytical processing for BI tools, machine learning, data science, and SQL clients. The company was founded in 2015 and is based in Santa Clara, California."
Data Lakes/Lakehouses,Databricks,https://www.databricks.com/,2013.0,$3497M,"Databricks provides a data platform that aims to simplify data integration and offers data analytic services. Databricks Lakehouse Platform serves corporations in various industries worldwide. It was founded in 2013 and is based in San Francisco, California."
Data Lakes/Lakehouses,Cloudian,https://cloudian.com/,2001.0,$360.1M,"Cloudian is a cloud storage systems software. It offers solutions for data protection, data lakehouse, ransomware protection, data storage security, public cloud storage, data lifecycle management, and file services. It serves the federal government, financial services, manufacturing, media, education, healthcare, and life sciences. Cloudian was formerly known as Gemini Mobile Technologies. The company was founded in 2001 and is based in San Mateo, California."
Data Lakes/Lakehouses,Snowflake,https://www.snowflake.com/en/,2012.0,$1386.79M,Snowflake (NYSE: SNOW) provides a cloud data warehouse enabling enterprises to access structured and semi-structured data.
Data Lakes/Lakehouses,Iomete,https://iomete.com/,2020.0,$0.5M,"IOMETE is a data management company specializing in modern data lakehouse solutions. Their offerings include a platform that integrates various data processing tools and services, such as Apache Iceberg and Apache Spark, to provide scalable, secure, and efficient data management for AI and analytics. IOMETE's solutions cater to a diverse range of sectors including financial institutions, healthcare, public sector, and data resellers. It was founded in 2020 and is based in Mountain View, California"
Data Warehouses,Yellowbrick,https://yellowbrick.com/,2014.0,$248M,"Yellowbrick Data Warehouse is a modern, elastic data warehouse with separate storage and compute that runs in the cloud and on-premises. Yellowbrick enables large-scale enterprises to eliminate complexity, reduce risk, and predict and control costs by running all their data anywhere, across multi-cloud instances. Yellowbrick allows enterprises to run complex queries on live data at a petabyte scale in their own cloud account while supporting high concurrency with fast, interactive query responses to customers' most challenging business questions. Yellowbrick Data was founded in 2014 and is headquartered in Mountain View, California."
Data Warehouses,Firebolt,https://www.firebolt.io/home-v2,2019.0,$264M,Firebolt aims to redesign the concept of a data warehouse to work more efficiently and at a lower cost.
Data Warehouses,Ocient,https://ocient.com/,2016.0,$82.89M,"Ocient enables organizations to explore and interact with hyperscale data sets to deliver meaningful insights and drive customer innovation. The company offers a hyperscale enterprise data warehouse platform that enables rapid transformation and analysis of massive (petabyte)-scale data. The company was founded in 2016 and is based in Chicago, Illinois."
Data Warehouses,Oracle Exadata Cloud Service,https://docs.oracle.com/en-us/iaas/exadatacloud/exacs/exadata-cloud-service-overview.html,1977.0,,"Oracle operates as an enterprise software company. It offers a variety of software products, including enterprise resource planning (ERP), customer relationship management (CRM), human capital management (HCM), and more. It serves industries such as automotive, consumer goods, and energy among others. It was founded in 1977 and is based in Austin, Texas."
Data Warehouses,SelectDB,https://en.selectdb.com/,2021.0,,"SelectDB focuses on modern data warehousing for real-time analysis, operating in the data management and analytics industry. The company offers fully managed cloud-native services and self-managed private deployment services for real-time data warehousing, providing rapid query analysis on large-scale real-time data. It primarily serves sectors such as the financial industry, internet companies, manufacturing, enterprise services, and telecommunications. It was founded in 2021 and is based in Haidian, China."
Data Warehouses,Kyligence,https://kyligence.io/,2016.0,$118M,"Kyligence is an enterprise-level data warehouse product based on a big data platform. The company empowers sub-second query latency on big data and simplifies data analytics for business users, analysts and engineers."
Data Warehouses,Hydra,https://hydra.so/,2021.0,$3.6M,"Hydra is an open source Snowflake alternative that transforms Postgres into a fast, scalable data warehouse. With Hydra, engineers can standardize both transactional and analytics workloads around the familiar Postgres syntax, tools, and ecosystem without app code changes. Hydra offers a fully managed cloud instance with columnar storage with high throughput writes. Hydra was founded in 2021 and is based in San Francisco, California."
Data Warehouses,Tabular,https://tabular.io/,,,"Tabular is a cloud-native data platform designed to automate maintenance and optimization of data. It was founded in 2021 and is based in San Jose, California."
Data Warehouses,Panoply by SQream,https://panoply.io/,2015.0,$23.3M,"Panoply develops a cloud data platform enabling users to synchronize, store, and access data. It facilitates solution-unlocking analysis without data engineering. Its platform offers business data synchronization, managed extract, transform, and load connectors, cloud data storage, and built-in analytics features. It was founded in 2015 and is based in Tel Aviv, Israel. In December 2021, Panoply was acquired by SQream Technologies."
Data Warehouses,VMWare Greenplum,https://www.vmware.com/products/greenplum.html,1998.0,$394.5M,"VMware (NYSE: VMW) is a cloud computing and virtualization technology company that enables organizations to build, run, manage and secure their apps across clouds. It serves the banking, healthcare, government, retail, telecommunications, manufacturing, and transportation industries. The company was founded in 1998 and is based in Palo Alto, California."
Data Warehouses,StarRocks,https://www.starrocks.io/,2020.0,,"StarRocks offers real-time SQL engines for enterprise-scale analytics. It was founded in 2020 and is based in San Francisco, California."
Streaming/In-Memory,MotherDuck,https://motherduck.com/,2022.0,$47M,"Mother Duck delivers a serverless data analytics platform for data. The platform offers a serverless analytics service built for lightweight use cases. It is built on the open-source platform DuckDB, an in-process online analytical processing database. The company was founded in 2022 and is based in San Fransico, California."
Streaming/In-Memory,SAP HANA Cloud,https://www.sap.com/products/technology-platform/hana.html,1972.0,,SAP (FWB: SAP) (NYSE: SAP) is a multinational software corporation that makes enterprise software to manage business operations and customer relations.
Streaming/In-Memory,Gigaspaces,https://www.gigaspaces.com/,2000.0,$58M,"GigaSpaces Technologies provides software middleware for deployment, management and scaling of mission-critical applications on cloud environments through two main product lines, XAP In-Memory Computing and Cloudify. Hundreds of Tier-1 organizations worldwide are leveraging GigaSpaces' technology to enhance IT efficiency and performance, from top financial firms, e-commerce companies, online gaming providers, healthcare organizations and telecom carriers."
Streaming/In-Memory,GridGain,https://www.gridgain.com/,2007.0,$28.18M,"GridGain is focused on real-time data access and processing by offering the enterprise-grade In-Memory Data Fabric built on Apache Ignite. The solution is used by global enterprises in financial, tech, retail, healthcare and other major sectors. GridGain solutions connect traditional and emerging data stores (SQL, NoSQL, and Hadoop) with cloud-scale applications and enable massive data throughput and ultra-low latencies across a scalable cluster of commodity servers. A converged data platform, GridGain In-Memory Data Fabric offers a comprehensive, enterprise-grade in-memory computing solution for high-volume transactions, real-time analytics and hybrid data processing."
Streaming/In-Memory,InfinyOn,https://infinyon.com/,2019.0,$5M,"InfinyOn is a company focused on data streaming, operating in the technology and data analytics industry. The company offers a platform that enables engineers to build robust event-driven data pipelines for various functions such as log processing, data enrichment, IoT edge processing, clickstream analytics, and real-time microservices. The platform is primarily used in sectors such as ecommerce, real estate tech, and cloud computing. It was founded in 2019 and is based in Saratoga, California"
Streaming/In-Memory,Hazelcast,https://hazelcast.com/,2010.0,$88.2M,"Hazelcast develops, distributes, and supports open source In-Memory Data Grid. Hazelcast's computing platform is comprised of two core products: Hazelcast IMDG, an in-memory data grid, and Hazelcast Jet, an application embeddable, stream and batch processing engine capable of supporting real-time streaming data."
Streaming/In-Memory,Bytewax,https://www.bytewax.io/,,,"Bytewax, founded in 2020, develops a serverless machine learning platform o let data scientists and machine learning engineers build and scale ML-powered features. The company's platform allows users to build custom pipelines to transform data and make predictions in real-time, run the software locally to speed up development, and build complex workflows. It is based in Santa Cruz, California."
Streaming/In-Memory,Upsolver,https://www.upsolver.com/ ,2014.0,$45.18M,"Upsolver develops a cloud architecture for NoSQL databases. Upsolver NoSQL DB stores data in the cloud instead of local servers, and its platform works on data streams and offers unique algorithms and aggregation functions."
Streaming/In-Memory,StreamNative,https://streamnative.io/,2019.0,$23M,StreamNative develops an event streaming platform that aims to enable companies to leverage enterprise data as real-time event streams to develop and launch new products and services.
Streaming/In-Memory,Ably,https://ably.com/,2013.0,$78M,Ably is a realtime data delivery platform that allows users to add realtime messaging and streaming data to applications.
Streaming/In-Memory,DeltaStream,https://deltastream.io/ ,2020.0,$10M,"DeltaStream provides a serverless database to manage, secure and process streams. The firm's product allows users to build real-time streaming applications and pipelines with SQL in minutes. The firm was founded in 2020 and is based in San Mateo, California."
Streaming/In-Memory,Estuary,https://www.estuary.dev/,,,"Estuary is a database software company that specializes in linking to both internal and external systems, integrating real-time batch operations, and allowing clients to stream data, including internal services, apps, or external SaaS. It is based in New York, New York."
Streaming/In-Memory,Quix,https://www.quix.io/,2020.0,$16.1M,"Quix is a company that focuses on data engineering platforms, specifically in the event streaming domain. The company offers a platform that enables developers to build, test, and deploy real-time models and services directly on Kafka, simplifying the process of working with live data. Quix primarily serves sectors such as video game, media, manufacturing, automotive, and telco industries. It was founded in 2020 and is based in London, England."
Streaming/In-Memory,Voltron Data,https://voltrondata.com/subscription,2021.0,$110M,"Voltron Data is a remote company that connects data, hardware, and developers, as well as focuses on improving the Apache Arrow Ecosystem. The company is based in Mountain View, California."
Streaming/In-Memory,Tinybird,https://www.tinybird.co/,2019.0,$40M,"Tinybird helps data teams build real-time data products at scale through SQL-based API endpoints. It ingests millions of rows per second and serves low latency, high concurrency analytical queries over any amount of data. It was founded in 2019 and is based in Madrid, Spain."
Streaming/In-Memory,RedPanda,https://redpanda.com/ ,2019.0,$65.5M,"Redpanda, fka Vectorized, delivers enterprises with a modern data-streaming platform for mission-critical applications. The company is building a family of products designed to reliably transform data streams into data products by unifying historical and real-time data, enabling inline Lambda transformations, all exposed under a drop-in Kafka-API replacement."
Streaming/In-Memory,Confluent,https://www.confluent.io/ ,2014.0,$455.9M,"Confluent (NASDAQ: CFLT) provides an Apache Kafka-based streaming platform for enterprises in industries such as retail, logistics, manufacturing, financial services, technology, and media to maximize the value of their data. Confluent Platform lets enterprises move data from isolated systems into a real-time data pipeline where they can act on it immediately."
Streaming/In-Memory,RisingWave Labs,https://www.risingwave-labs.com/ ,2021.0,$36M,"RisingWave Labs provides a cloud-native streaming database that maintains storage and allows users to access data efficiently. It uses SQL as the interface, consumes streaming data, and performs incremental computations. The company was founded in 2021 and is based in San Francisco, California."
Streaming/In-Memory,Decodable,https://www.decodable.co/ ,2021.0,$25.5M,"Decodable, founded in 2021, specializes in the development of a data engineering platform. The platform enables applications and data engineers to build data pipelines to process and deliver data to offline and online systems. The company is based in San Francisco."
Streaming/In-Memory,Meroxa,https://meroxa.com/,2019.0,$19.2M,Meroxa makes real-time data infrastructure accessible to any company regardless of expertise or available resource.
Streaming/In-Memory,Ververica,https://www.ververica.com/,,,"Ververica is an enterprise stream processing platform that provides multi-tenancy, authentication, role-based access control, and auto-scaling for Apache Flink. The company offers solutions such as event-driven applications, fraud detection, machine learning, and more. The company was founded in 2014 and is based in Berlin, Germany."
Streaming/In-Memory,Artie,https://www.artie.so/,2023.0,$3.8M,"Artie specializes in real-time data replication, focusing on the synchronization of databases to data warehouses. The company offers a platform that enables high-volume data transfer with low latency, using change data capture (CDC) and stream processing to replicate data. Its solutions cater to data and engineering teams, providing tools for real-time analytics. The company was founded in 2023 and is based in San Francisco, California."
Streaming/In-Memory,Arcion,https://www.arcion.io/,2018.0,$18.16M,"Arcion offers a cloud-native, real-time data mobility platform. It enables data teams to build zero-maintenance data pipelines in minutes."
Streaming/In-Memory,Striim,https://www.striim.com/,2013.0,$92.5M,"Striim is an end-to-end streaming integration and intelligence platform. Striim specializes in multi-stream data integration and real-time Change Data Capture (CDC) across a wide variety of data sources including transaction/change data, events, log files, application and IoT sensor data. With data pipelines in-place, the Striim platform makes streaming analytics easy. Enterprises can detect anomalies, identify and visualize events of interest, and trigger alerts and workflows  all in-time and in-context."
Streaming/In-Memory,Conduktor,https://www.conduktor.io/,2021.0,$20M,"Conduktor is a computer software company. It helps companies operate their data using Apache Kafka. It is based in Jackson, Wyoming."
Streaming/In-Memory,Aiven,https://aiven.io/,2016.0,$419.93M,"Aiven offers a managed cloud service that hosts software infrastructure services. It provides managed open-source data technologies, like PostgreSQL, Kafka, and OpenSearch, on all major clouds, allowing developers to create applications. The company was founded in 2016 and is based in Helsinki, Finland."
RDBMs,Altibase,https://altibase.com/en/,1999.0,,"Altibase is an enterprise-grade, high-performance relational database company. It offers a hybrid database system that combines in-memory and on-disk data storage in a unified engine, catering to the need for high throughput and economical storage. Altibase primarily serves sectors such as telecommunications, finance, manufacturing, and public services. It was founded in 1999 and is based in New York, New York."
RDBMs,Microsoft SQL Server,https://www.microsoft.com/en-us/sql-server,1975.0,,"Microsoft (NASDAQ: MSFT) provides, develops, and licenses consumer and enterprise software. The company develops, manufactures, and sells computer software, consumer electronics, and personal computers and services. It is known for its Windows operating systems, Office productivity suite, cloud-based Azure platforms, and many more. The company was founded in 1975 and is based in Redmond, Washington."
NoSQL Databases,Speedb,https://www.speedb.io/,2020.0,$4M,"Speedb provides a drop-in replacement for RocksDB embedded storage engine for hyperscale data operations. Speedb Data Engine removes the capacity, scale, and performance limitations of using existing KVS solutions. It redesigned the RocksDB internal data structure to fit the performance and scalability requirements of modern, hyperscale data operations. By redesigning parts of RocksDB, it was able to develop an embedded KVS. Speedb supports petabyte scaling of datasets with billions of objects."
NoSQL Databases,Couchbase,https://www.couchbase.com/,2009.0,$248M,"Couchbase (NASDAQ:BASE) provides a scalable NoSQL database. The solution includes a shared nothing architecture, a single node-type, a built in caching layer, true auto-sharding and a NoSQL mobile offering: Couchbase Mobile, a NoSQL mobile solution comprised of Couchbase Server, Couchbase Sync Gateway and Couchbase Lite. Couchbase Server and all Couchbase Mobile products are open source projects."
NoSQL Databases,Progress MarkLogic,https://www.progress.com/marklogic,2001.0,,"Progress is a company that focuses on the development, deployment, and management of high-impact business applications in the technology sector. The company offers a range of products that facilitate the creation of applications, automate processes for configuration, deployment, and scaling of apps, and enhance the accessibility and security of critical data. Progress primarily serves the technology industry, with a particular emphasis on software companies and developers. Progress was formerly known as Data Language Corporation. It was founded in 1981 and is based in Bedford, Massachusetts."
NoSQL Databases,Aerospike,https://aerospike.com/,2009.0,$52M,"Aerospike specializes in real-time NoSQL data solutions for any scale. Aerospike enterprises overcome seemingly impossible data bottlenecks to compete and win with a fraction of the infrastructure complexity and cost of legacy NoSQL databases. Aerospike empowers customers to instantly fight fraud; dramatically increase shopping cart size; deploy global digital payment networks; and deliver instant, one-to-one personalization for millions of customers."
NoSQL Databases,MongoDB,https://www.mongodb.com/,2008.0,$310M,"MongoDB is a general purpose, document-based, distributed database built for modern application developers and for the cloud era."
NoSQL Databases,Crunchydata,https://www.crunchydata.com/,2012.0,,"Crunchy Data specializes in enterprise PostgreStructured Query Language (SQL) solutions and support. The company offers fully managed cloud Postgres services, automated high-availability PostgreSQL solutions, and secure, hardened PostgreSQL for advanced security needs. Crunchy Data primarily serves sectors such as government, healthcare, finance, software as a service (SaaS), automotive, and blockchain. It was founded in 2012 and is based in Daniel Island, South Carolina."
NoSQL Databases,ScyllaDB,https://www.scylladb.com/,2012.0,$58M,"ScyllaDB provides a real-time big data database compatible with Apache Cassandra and used for a variety of business-critical purposes, including as a key value store, time-series database, large blob store, and graph database backend."
NoSQL Databases,Nile,https://www.thenile.dev/,2022.0,$11.6M,"Nile specializes in serverless Postgres database solutions for the modern Software as a Service (SaaS) industry. The company offers a multi-tenant database platform that provides built-in tenant and user management, global data placement, and instant customer dashboards. Its services cater to SaaS applications requiring scalable, secure, and efficient data management solutions. It is based in San Francisco, California."
NoSQL Databases,pgEdge,https://www.pgedge.com/,2022.0,$9M,"pgEdge specializes in distributed PostgreSQL solutions optimized for the network edge within the database and cloud computing industries. The company offers products designed to reduce data latency and provide ultra-high availability for databases, leveraging a multi-master, multi-region, and multi-cloud architecture. pgEdge's services cater to various sectors, including financial services, SaaS media analytics, and companies requiring data residency compliance. It was founded in 2022 and is based in Alexandria, Virginia."
NoSQL Databases,RavenDB,https://ravendb.net/,,,"RavenDB is a NoSQL Document Database company that operates in the database industry. The company offers a fully transactional database system designed for applications operating on the cloud or on-premise, providing high performance and data integrity. It is primarily used by organizations ranging from startups to large enterprises. It is based in Haifa, Israel."
NoSQL Databases,VMware Tanzu GemFire,https://tanzu.vmware.com/gemfire,1998.0,$394.5M,"VMware operates as a company focused on providing multi-cloud services for all applications. The company's main offerings include services that enable digital innovation with enterprise control, such as solutions for modern applications, multi-cloud, digital workspace, security, and networking. It was founded in 1998 and is based in Palo Alto, California. In November 2023, VMware was acquired by Broadcom at a valuation of $61B."
NoSQL Databases,Crate.io,https://crate.io/,2013.0,$29.11M,"Crate.io is a scalable real-time database for the machine data era, such as information from the Internet of Things that stores massive amounts of data over the cloud and provides it via SQL connections."
NoSQL Databases,Riak,https://riak.com/index.html,,,Riak is a decentralized datastore from Basho Technologies.
NoSQL Databases,Datastax,https://www.datastax.com/,2010.0,$342.27M,"DataStax is a real-time data company allowing enterprises to mobilize real-time data and quickly build the smart, highly scalable applications required to be a data-driven business. With Astra DB and Astra Streaming, DataStax delivers the power of Apache Cassandra, a scalable database, with the Apache Pulsar streaming technology in an open data stack that is available on any cloud. Astra DB is a multi-cloud DBaaS built on Apache Cassandra, while Astra Streaming is a multi-cloud Streaming-as-a-Service built on Apache Pulsar. The company also offers Luna for Apache Cassandra, a Subscription-to-Success product with open-source Apache Cassandra; Luna Streaming, a Subscription-to-Success product with open-source Apache Pulsar; and DataStax Enterprise, a scale-out, cloud-native NoSQL built on Ap"
NewSQL Databases,Supabase,https://supabase.com/,2020.0,$116.63M,"Supabase develops an open-source alternative to Google's Firebase. It helps developers by providing a Postgres database with a self-documenting application programming interface, edge functions, real-time subscriptions, storage, and vector embeddings. The company was founded in 2020 and is based in Singapore."
NewSQL Databases,Timescale,https://www.timescale.com/,2015.0,$181.06M,"Timescale is an open-source time-series database specifically designed for ease of use and complex queries that is fully compatible with Postgres. The company focuses on developers and businesses working with machine data and IoT. The company was founded in 2015 and is based in New York, New York."
NewSQL Databases,PlanetScale,https://planetscale.com/,2018.0,$105M,"PlanetScale offers Vitess, an open source sharding middleware system for MySQL that lets applications view a sharded MySQL cluster as a giant monolithic database."
NewSQL Databases,YugabyteDB,https://www.yugabyte.com/,2016.0,$290M,"YugaByte is the company behind YugaByte DB, the cloud-native, transactional, high-performance database for planet-scale cloud applications. YugaByte DB converges the operational database needs of mission-critical applications into an easy-to-manage, unified platform, allowing enterprises to focus on growing their business rather than managing complex infrastructure. The company was founded in 2016 and is based in Sunnyvale, California."
NewSQL Databases,Volt Active Data,https://www.voltactivedata.com/,2010.0,$44.32M,"Volt Active Data develops a data platform designed to augment existing big data investments. It replaces the various layers typically required to make contextual decisions on streaming data with a single, unified layer that can handle ingest to action in milliseconds. The platform features include real-time business decisions; zero-lag streaming aggregation; and monetized streaming data. Its customers include Openet, Huawei, Connexity, Nokia, Mitsubishi Electric, and others. Volt Active Data, formerly VoltDB, was founded in 2010 and is based in Bedford, Massachusetts."
NewSQL Databases,InfluxData,https://www.influxdata.com/,2012.0,$200.12M,"InfluxData is a time series, metrics, and analytics database. It is targeted at use cases for DevOps, metrics, sensor data, and analytics. It offers an open-source server agent named Telegraf that helps customers collect metrics from your stacks, sensors, and systems. The company was founded in 2012 and is based in San Francisco, California."
NewSQL Databases,Neon,https://neon.tech/,2021.0,$76M,"Neon develops a multi-cloud Serverless Postgres provider which is purpose-built to address modern workloads oriented around edge computing and artificial intelligence (AI). It builds open-source cloud-native PostgreSQL specializing in separation of storage and compute, branching, and serverless architecture. It offers auto-scaling, branching, and bottomless storage solutions allowing for stateless and serverless Postgres. It was founded in 2021 and is based in San Francisco, California."
